Category,Type,avg_rating,avg_installs,num_apps
ART_AND_DESIGN,Free,4.34,2021734.0,56
AUTO_AND_VEHICLES,Free,4.18,737219.0,72
BEAUTY,Free,4.28,640862.0,42
BOOKS_AND_REFERENCE,Free,4.35,10313389.0,162
BOOKS_AND_REFERENCE,Paid,4.28,2831.0,8
BUSINESS,Free,4.11,2914684.0,283
BUSINESS,Paid,4.2,37515.0,11
COMICS,Free,4.18,832057.0,54
COMMUNICATION,Free,4.13,64275941.0,246
COMMUNICATION,Paid,4.06,61818.0,22
DATING,Free,3.99,1046088.0,160
EDUCATION,Free,4.35,2272541.0,122
ENTERTAINMENT,Free,4.11,11105138.0,109
EVENTS,Free,4.44,354431.0,45
FAMILY,Free,4.17,4217611.0,1518
FAMILY,Paid,4.29,133137.0,159
FINANCE,Free,4.13,1557771.0,293
FINANCE,Paid,3.83,14277.0,13
FOOD_AND_DRINK,Free,4.17,2395976.0,95
GAME,Free,4.24,18615286.0,835
GAME,Paid,4.37,276306.0,76
HEALTH_AND_FITNESS,Free,4.25,4907133.0,264
HEALTH_AND_FITNESS,Paid,4.39,47750.0,12
HOUSE_AND_HOME,Free,4.18,2037275.0,69
LIBRARIES_AND_DEMO,Free,4.18,813797.0,64
LIFESTYLE,Free,4.08,1730760.0,292
LIFESTYLE,Paid,4.25,65506.0,18
MAPS_AND_NAVIGATION,Free,4.04,4452624.0,113
MAPS_AND_NAVIGATION,Paid,3.86,24220.0,5
MEDICAL,Free,4.15,191980.0,252
MEDICAL,Paid,4.25,9719.0,84
NEWS_AND_MAGAZINES,Free,4.12,13571713.0,219
PARENTING,Free,4.34,647209.0,48
PERSONALIZATION,Free,4.3,7538536.0,236
PERSONALIZATION,Paid,4.44,64523.0,66
PHOTOGRAPHY,Free,4.17,18867704.0,255
PHOTOGRAPHY,Paid,4.06,228148.0,17
PRODUCTIVITY,Free,4.19,24561143.0,297
PRODUCTIVITY,Paid,4.21,78378.0,18
SHOPPING,Free,4.23,8928064.0,211
SOCIAL,Free,4.25,28218857.0,214
SPORTS,Free,4.21,4623208.0,258
SPORTS,Paid,4.25,56536.0,22
TOOLS,Free,4.03,12323705.0,658
TOOLS,Paid,4.17,27410.0,63
TRAVEL_AND_LOCAL,Free,4.08,16233047.0,196
TRAVEL_AND_LOCAL,Paid,4.1,22750.0,8
VIDEO_PLAYERS,Free,4.04,27115353.0,145
WEATHER,Free,4.23,5542846.0,65
WEATHER,Paid,4.37,115929.0,7
